ID,Name,Value,Wage
189068,B. Dost,€26M,€26K
188152,Oscar,€30.5M,€29K
186627,M. Balotelli,€27.5M,€55K
185221,Luiz Gustavo,€19M,€63K
184942,Giuliano,€26M,€64K
179944,David Luiz,€17.5M,€130K
179783,R. Fährmann,€20M,€38K
178088,Juan Mata,€24.5M,€160K
178086,Adán,€15.5M,€55K
178005,Rui Patrício,€16.5M,€74K
177683,Y. Sommer,€20M,€35K
177610,Javi Martínez,€20M,€94K
177457,L. Bender,€20M,€82K
176266,Lucas Leiva,€17.5M,€64K
163705,S. Mandanda,€13M,€51K
162895,Cesc Fàbregas,€22M,€140K
162240,M. Dembélé,€24M,€120K
156616,F. Ribéry,€11.5M,€72K
104389,R. Jarstein,€13M,€33K
53302,D. De Rossi,€8M,€80K
24630,Pepe Reina,€6M,€56K
236583,J. Pavlenka,€19.5M,€30K
235243,M. de Ligt,€27M,€11K
231866,Rodri,€29M,€59K
230658,Arthur,€32.5M,€125K
230621,G. Donnarumma,€29M,€23K
230258,Rosberto Dourado,€16.5M,€46K
230225,Juiano Mestres,€6.5M,€39K
230168,Raphaelito Anjos,€14M,€32K
227055,Gelson Martins,€29.5M,€59K
224411,Gonçalo Guedes,€29M,€36K
223959,L. Torreira,€25M,€98K
222737,Malcom,€31.5M,€140K
221087,Pau López,€21.5M,€21K
220814,L. Hernández,€25.5M,€53K
220440,C. Lenglet,€26M,€135K
216354,A. Kramarić,€26M,€54K
216267,A. Robertson,€24.5M,€98K
216194,Dani García,€20M,€33K
212404,F. Bernardeschi,€29.5M,€110K
212194,J. Brandt,€30.5M,€68K
211320,D. Rugani,€24.5M,€95K
210617,Samu Castillejo,€29M,€94K
210514,João Cancelo,€25.5M,€95K
210413,A. Romagnoli,€26.5M,€84K
209989,T. Partey,€25.5M,€59K
209297,Fred,€26.5M,€140K
208830,J. Vardy,€20M,€96K
208596,A. Belotti,€30M,€58K
208448,E. Forsberg,€26M,€67K
207494,J. Lingard,€26.5M,€140K
207471,F. Vázquez,€21.5M,€27K
205678,E. Višća,€22.5M,€40K
205452,A. Rüdiger,€22.5M,€110K
203551,A. Florenzi,€20.5M,€73K
203263,H. Maguire,€23.5M,€77K
202371,T. Meunier,€21M,€87K
201956,S. Sané,€18.5M,€41K
201455,G. Kondogbia,€27.5M,€46K
201400,Rafinha,€29.5M,€165K
201305,Gabriel Paulista,€21M,€44K
201153,Morata,€28.5M,€135K
199987,J. Cillessen,€18M,€135K
199451,W. Ben Yedder,€23.5M,€28K
198951,C. Bakambu,€26M,€33K
198950,Pablo Sarabia,€26M,€26K
198717,W. Zaha,€28.5M,€78K
198706,Luis Alberto,€28.5M,€67K
198164,Jonathan Viera,€22.5M,€31K
198141,Bartra,€21M,€32K
197655,S. Coates,€21M,€19K
195093,Willian José,€26.5M,€44K
193525,Mário Fernandes,€18.5M,€1K
193469,Víctor Ruiz,€19.5M,€43K
193283,T. Delaney,€21.5M,€61K
192984,K. Casteels,€19.5M,€46K
192318,M. Götze,€27M,€67K
192227,S. Mustafi,€22.5M,€115K
191180,J. Pastore,€21.5M,€84K
189505,Pedro,€21M,€140K
189125,G. Bonaventura,€22M,€115K
189117,R. Bürki,€18.5M,€50K
188803,Taison,€21M,€1K
187936,S. Nzonzi,€17M,€77K
187754,Marlos,€21M,€1K
186561,A. Ramsey,€25M,€130K
186345,K. Trippier,€18.5M,€99K
185103,A. Kolarov,€12.5M,€73K
184484,G. Sigurðsson,€22.5M,€125K
184431,S. Giovinco,€20M,€15K
184200,M. Arnautović,€22M,€120K
184144,N. Gaitán,€21M,€22K
183711,J. Henderson,€18M,€125K
183574,M. Kruse,€21.5M,€45K
183498,M. Parolo,€9M,€59K
183376,L. Fejsa,€17M,€18K
183280,A. Rami,€12.5M,€57K
181786,V. Ćorluka,€12.5M,€1K
181291,G. Wijnaldum,€23M,€130K
179847,F. Fazio,€15M,€73K
178509,O. Giroud,€20M,€140K
173521,Marcano,€15M,€73K
171897,A. Guardado,€19M,€35K
170481,E. Garay,€15M,€44K
168530,Jardel,€12.5M,€17K
168435,S. Sirigu,€13.5M,€45K
168354,E. Viviano,€12.5M,€15K
165229,L. Koscielny,€12.5M,€115K
163489,A. Consigli,€13.5M,€52K
158963,L. Biglia,€12.5M,€98K
146530,Dani Alves,€4.8M,€62K
113422,David Villa,€8M,€12K
106231,Aduriz,€8M,€29K
48940,P. Čech,€3M,€60K
5479,Casillas,€1.5M,€10K
231677,M. Rashford,€27M,€110K
230271,Laure Santeiro,€17M,€40K
229906,L. Bailey,€26.5M,€54K
229237,M. Akanji,€21M,€49K
228702,F. de Jong,€26M,€19K
227928,Nélson Semedo,€20M,€125K
226456,Pablo Fornals,€24M,€36K
226271,Fabián,€26M,€64K
225508,E. Bailly,€21M,€105K
222509,Dani Ceballos,€25M,€120K
221992,H. Lozano,€24M,€22K
216475,Morales,€17M,€33K
216451,J. Seri,€20.5M,€73K
216409,M. Politano,€22.5M,€57K
216352,M. Brozović,€18.5M,€64K
216201,Williams,€24.5M,€31K
214997,A. Correa,€24.5M,€54K
213661,A. Christensen,€21.5M,€91K
212814,João Mário,€22.5M,€71K
212151,T. Strakosha,€17M,€36K
210864,E. Hysaj,€20M,€58K
210406,P. Zieliński,€24.5M,€64K
210243,Ricardo Pereira,€19M,€64K
210035,Grimaldo,€20.5M,€14K
209889,R. Guerreiro,€24M,€54K
208135,A. Doucouré,€19.5M,€60K
207877,J. Martínez,€22.5M,€14K
207664,C. Bacca,€16M,€45K
206467,A. Plea,€22M,€40K
205923,B. Davies,€18.5M,€87K
205362,M. Nastasić,€18.5M,€36K
205175,A. Milik,€25.5M,€71K
204923,M. Sabitzer,€22.5M,€54K
204884,B. Mendy,€20M,€105K
204024,C. Kramer,€17M,€35K
203890,S. Vrsaljko,€18M,€57K
203486,T. Hazard,€21.5M,€40K
202857,K. Bellarabi,€18M,€76K
202685,S. Zaza,€21M,€48K
201454,F. Ghoulam,€16.5M,€68K
200726,B. Lecomte,€15M,€27K
200647,J. Iličić,€17M,€41K
200610,K. Volland,€22M,€76K
200454,Paco Alcácer,€23.5M,€59K
199715,Vitolo,€18M,€65K
199503,G. Xhaka,€22M,€115K
199434,D. Tadić,€17.5M,€26K
199042,C. Aránguiz,€17M,€76K
196889,S. Verdi,€19.5M,€77K
195086,D. Lovren,€16M,€115K
193532,G. Medel,€13M,€56K
193348,X. Shaqiri,€19M,€130K
193165,J. Corona,€21.5M,€18K
193105,A. Areola,€16.5M,€61K
192641,K. Vogt,€17.5M,€42K
191740,Ander Herrera,€17.5M,€140K
190972,E. Salvio,€18.5M,€19K
190813,S. El Shaarawy,€21M,€77K
189881,C. Smalling,€16M,€130K
189362,Hulk,€15.5M,€25K
189358,S. Kagawa,€17.5M,€65K
188988,M. Lanzini,€23M,€90K
187491,F. Smolov,€18.5M,€1K
187072,L. Stindl,€18M,€43K
185239,O. Toprak,€16M,€59K
183900,D. Perotti,€17.5M,€84K
182494,F. Muslera,€10M,€52K
179784,B. Höwedes,€13M,€1K
179645,S. Kjær,€14M,€23K
177458,S. Bender,€14M,€69K
177326,M. Valbuena,€11M,€86K
175379,Pedro León,€15.5M,€32K
173909,K. Boateng,€15M,€65K
173771,L. Piszczek,€7M,€57K
173221,A. Candreva,€15.5M,€74K
172522,D. Wass,€17M,€46K
170368,E. Lamela,€21M,€105K
169595,D. Rose,€14.5M,€92K
169416,C. Vela,€17.5M,€15K
169195,Renato Augusto,€16.5M,€28K
167905,A. Valencia,€10M,€120K
164835,L. Fabiański,€9M,€70K
162347,João Moutinho,€15M,€85K
161956,Borja Valero,€11M,€74K
159261,F. Quagliarella,€8M,€39K
159145,B. Gomis,€14M,€56K
157960,Manuel Fernandes,€14M,€1K
156519,H. Herrera,€17.5M,€20K
144622,Raffael,€11M,€41K
139068,Nani,€15.5M,€19K
138412,J. Milner,€13.5M,€120K
112316,J. Mathieu,€5.5M,€18K
45186,Joaquín,€6M,€24K
239207,M. Gómez,€20.5M,€25K
235790,K. Havertz,€22M,€32K
235569,T. Ndombele,€22.5M,€51K
234906,H. Aouar,€23.5M,€51K
234153,Carlos Soler,€21M,€31K
234035,Odriozola,€18.5M,€115K
230977,M. Almirón,€19.5M,€11K
230347,Welington Dano,€10.5M,€34K
230234,Everton Andrão,€4.5M,€34K
230142,Oyarzabal,€21M,€29K
228229,F. Balbuena,€15.5M,€80K
227536,M. Marega,€16M,€19K
226851,B. Pavard,€17.5M,€33K
226790,W. Ndidi,€17M,€50K
226753,A. Onana,€14.5M,€14K
226226,G. Lo Celso,€20M,€72K
224334,M. Acuña,€12.5M,€16K
224293,Rúben Neves,€20.5M,€59K
221639,Mariano,€20M,€140K
221540,Raúl,€12M,€19K
220477,M. Caldara,€17.5M,€73K
219985,M. Vecino,€14.5M,€63K
219809,T. Bakayoko,€17M,€85K
218339,M. Dahoud,€20M,€50K
216547,Rafa,€18.5M,€17K
215785,K. Baldé,€20M,€65K
215316,G. Rulli,€14M,€26K
214584,F. Armani,€9M,€22K
212692,Rony Lopes,€20M,€65K
212623,Santi Mina,€20M,€40K
211748,K. Demirbay,€19.5M,€37K
211688,Gayà,€16.5M,€33K
211575,André Gomes,€19.5M,€130K
211256,N. Tagliafico,€15M,€20K
210896,M. Sanson,€19.5M,€47K
209960,Pacheco,€13M,€23K
208333,E. Can,€19.5M,€91K
208128,H. Çalhanoğlu,€19.5M,€89K
207862,M. Ginter,€15.5M,€28K
207599,M. Keane,€15.5M,€88K
207439,L. Paredes,€0,€0
206413,T. Stepanenko,€12M,€1K
205988,L. Shaw,€16.5M,€96K
205705,Z. Feddal,€12M,€29K
205693,S. Haller,€19M,€41K
205525,Bernard,€17.5M,€97K
205114,T. Inui,€14M,€30K
205070,Portu,€17.5M,€37K
204529,M. Batshuayi,€19.5M,€105K
204399,E. Zahavi,€14.5M,€24K
204120,T. Vaclík,€11.5M,€17K
203841,N. Pope,€13M,€48K
203747,Héctor Bellerín,€16.5M,€85K
203605,P. Kadeřábek,€14M,€39K
203042,J. Butland,€14M,€39K
202849,J. Vestergaard,€14.5M,€51K
202695,J. Tarkowski,€15.5M,€56K
202477,Deulofeu,€18.5M,€56K
202335,E. Dier,€16.5M,€73K
201377,J. Murillo,€16M,€38K
201144,M. Badelj,€11.5M,€53K
201119,Ismaily,€11.5M,€1K
200536,N. Schulz,€14.5M,€37K
200458,L. Digne,€16M,€79K
200318,M. Uth,€17.5M,€42K
200315,Cristian Tello,€16M,€30K
199206,D. Vida,€11.5M,€55K
199110,L. Muriel,€17.5M,€24K
199069,V. Aboubakar,€18M,€19K
198784,A. Oxlade-Chamberlain,€19.5M,€94K
197853,S. Aurier,€15.5M,€82K
197061,J. Matip,€15M,€99K
195861,Y. Rakitskyi,€12M,€1K
194879,Sergi Enrich,€15.5M,€34K
194794,A. Yarmolenko,€15M,€92K
194229,Hugo Mallo,€13.5M,€27K
194022,André Almeida,€12M,€15K
193886,D. Didavi,€15M,€44K
193352,R. Rodríguez,€15.5M,€81K
193061,R. Pereyra,€15.5M,€65K
192789,Mario Gaspar,€12M,€35K
191687,Maicon,€11.5M,€63K
190815,D. Blind,€12M,€22K
190778,J. Zoet,€12.5M,€16K
190544,A. Ljajić,€17.5M,€52K
190286,Canales,€15.5M,€30K
190264,Iago Falqué,€15M,€59K
189805,L. de Jong,€16M,€23K
189690,Guaita,€9M,€48K
189575,Muniain,€18.5M,€31K
189354,Susaeta,€14M,€33K
189251,S. Rudy,€12M,€37K
188943,K. Trapp,€11.5M,€61K
188942,V. Wanyama,€14.5M,€86K
188829,N. Nkoulou,€12M,€50K
188388,R. Boudebouz,€15M,€31K
188005,Camacho,€13.5M,€51K
186569,S. Ulreich,€10M,€61K
186547,M. Musacchio,€12.5M,€85K
186537,C. Stuani,€13.5M,€41K
185122,P. Gulácsi,€10.5M,€45K
184120,Bruno,€7M,€39K
183427,F. Delph,€11.5M,€120K
180819,A. Lallana,€13.5M,€110K
180334,Marcelo,€10M,€64K
180216,S. Coleman,€11M,€97K
180175,Alexandre Pato,€15.5M,€35K
178424,Antunes,€9.5M,€27K
177604,Nacho Monreal,€8M,€99K
177600,Beñat,€12.5M,€30K
176915,A. Fernández,€11M,€20K
176600,K. Gameiro,€13.5M,€45K
176376,I. Piatti,€9M,€13K
176104,V. Birsa,€13M,€23K
173373,S. Romero,€9M,€91K
173208,D. Criscito,€10M,€21K
172114,D. Valeri,€11.5M,€12K
171833,D. Sturridge,€15.5M,€125K
171579,Raúl García,€13M,€30K
170815,S. Defour,€13.5M,€65K
166706,M. Škrtel,€6M,€68K
165109,S. Radu,€10M,€51K
164468,G. Cahill,€8.5M,€99K
163711,L. Diarra,€6M,€75K
159147,L. Perrin,€8.5M,€37K
158625,Dante,€4.5M,€37K
156713,A. Granqvist,€0,€0
153244,A. Gignac,€12M,€70K
150418,M. Gómez,€12M,€46K
148119,I. Akinfeev,€8.5M,€1K
147782,I. Denisov,€4.5M,€1K
146760,Juanfran,€5.5M,€53K
146748,Diego López,€2M,€17K
146562,Santi Cazorla,€8.5M,€39K
146536,Jesús Navas,€11.5M,€22K
142754,J. Mascherano,€4.5M,€20K
140293,A. Mirante,€6M,€51K
139997,D. Srna,€1.7M,€27K
121944,B. Schweinsteiger,€6M,€11K
110677,Moyá,€6M,€26K
54050,W. Rooney,€12M,€13K
49369,Fernando Torres,€8M,€10K
49031,S. Sorrentino,€1M,€10K
244369,V. Tsygankov,€18M,€1K
239818,Rúben Dias,€15M,€10K
236632,David Neres,€18M,€18K
233419,Raphinha,€18M,€13K
232097,A. Harit,€18M,€27K
231943,Richarlison,€18M,€79K
231478,L. Martínez,€18M,€54K
230938,F. Kessié,€19.5M,€24K
230498,Luimo Boas Santos,€12M,€26K
230312,Gabri Prestão,€9M,€24K
230251,Melvin Parrela,€9.5M,€20K
230212,Antônio Chiamuloira,€9.5M,€30K
230201,Maikel Catarino,€3.6M,€38K
229909,A. Lunev,€0,€0
228941,André Silva,€19M,€84K
227796,C. Pulisic,€18M,€26K
227290,M. Dmitrović,€10M,€21K
227234,L. Tousart,€14.5M,€43K
226161,Marcos Llorente,€16M,€110K
225997,B. Verbič,€15.5M,€1K
225953,S. Bergwijn,€18M,€17K
225711,A. Diallo,€15M,€43K
225663,A. Golovin,€17M,€61K
225647,M. Campaña,€10M,€21K
224254,C. Pavón,€17.5M,€27K
224069,K. Toko-Ekambi,€15M,€38K
223682,Granell,€12M,€37K
223061,F. Cervi,€17M,€15K
222028,J. Weigl,€14.5M,€43K
221660,V. Lindelöf,€14.5M,€91K
220018,A. Rebić,€16M,€39K
219932,A. Sanabria,€17.5M,€27K
219576,R. Battaglia,€14.5M,€17K
216497,M. Philipp,€17M,€53K
216388,A. Saint-Maximin,€18M,€31K
216150,D. Zappacosta,€12.5M,€94K
215353,L. Alario,€16M,€67K
215061,D. Benedetto,€13M,€32K
215057,I. Marcone,€11.5M,€31K
214947,J. Gbamin,€14.5M,€26K
213991,J. Lerma,€14.5M,€55K
213516,Ricardo Horta,€17M,€16K
213160,R. Zobnin,€15M,€1K
212150,M. Meyer,€16M,€53K
211368,Bruma,€16.5M,€48K
211267,R. Centurión,€15.5M,€25K
210455,Jonny,€13.5M,€43K
210411,Otávio,€17.5M,€15K
210324,J. Hofmann,€15M,€32K
208920,N. Aké,€14.5M,€55K
208334,J. Hector,€10M,€26K
207993,S. Kolašinac,€13M,€89K
207939,G. Pizarro,€10M,€58K
207732,Roger,€14.5M,€32K
206652,Sergio Rico,€11.5M,€13K
206304,L. Milivojević,€12.5M,€56K
205407,D. Baselli,€15.5M,€49K
205193,K. Rekik,€14M,€26K
205192,Denis Suárez,€17.5M,€120K
204638,W. Orban,€13M,€48K
204614,Mário Rui,€11.5M,€60K
204525,Iñigo Martínez,€12M,€26K
204311,K. Zouma,€14M,€80K
204277,Roque Mesa,€10M,€20K
204082,J. Brooks,€14M,€44K
203775,L. Karius,€11.5M,€71K
203757,Zé Luís,€14.5M,€1K
203483,D. Klaassen,€15M,€32K
203362,M. Elyounoussi,€17.5M,€48K
203106,L. Bittencourt,€16M,€35K
202648,Sergi Darder,€16M,€29K
202562,J. Roussillon,€14M,€44K
202325,D. Demme,€12M,€50K
202201,J. Gouweleeuw,€12M,€28K
201862,M. Rojo,€10M,€115K
201519,J. Veretout,€16.5M,€59K
201510,L. Kurzawa,€13M,€68K
201508,G. Ramírez,€13M,€41K
201505,David López,€10M,€32K
201325,C. Tătăruşanu,€7M,€23K
201143,A. Mandi,€13M,€26K
201042,D. Sidibé,€12M,€61K
200641,Y. Konoplyanka,€12.5M,€41K
200260,S. Berghuis,€15M,€20K
200155,H. Vanaken,€15.5M,€27K
199823,Campaña,€15.5M,€28K
199767,M. van Ginkel,€14.5M,€98K
199561,Nolito,€11M,€21K
199439,M. Gregoritsch,€16M,€27K
199416,Ibai Gómez,€12.5M,€31K
199304,Danilo,€12M,€110K
199189,R. Barkley,€16M,€89K
199005,M. Ryan,€10.5M,€41K
198715,Sergio León,€12.5M,€32K
198200,B. Stambouli,€10.5M,€33K
198118,J. Guilavogui,€12M,€46K
198031,Sérgio Oliveira,€15.5M,€17K
197083,D. Caligiuri,€9M,€33K
196978,C. Wilson,€15.5M,€77K
194957,P. Jones,€12M,€110K
194761,Borja García,€13M,€35K
193738,Y. Belhanda,€12.5M,€65K
193601,G. Pezzella,€12.5M,€56K
193171,Jaume Costa,€9M,€34K
192991,C. Tosun,€14.5M,€105K
192679,Escudero,€10M,€20K
192678,Kike García,€13M,€32K
192598,Elkeson,€13M,€25K
192064,Ricardo Goulart,€14.5M,€25K
191076,J. Guðmundsson,€13M,€61K
190456,N. Clyne,€11.5M,€94K
190243,M. Hitz,€8M,€41K
190149,De Marcos,€9.5M,€27K
189682,B. Mee,€10M,€58K
189681,Rafael,€10.5M,€60K
189560,Iborra,€9.5M,€66K
189461,J. Wilshere,€15M,€83K
189433,B. Hübner,€10M,€39K
189423,Souza,€10M,€44K
189271,F. Coquelin,€12M,€36K
188081,Alex Teixeira,€13M,€30K
187735,A. Dzagoev,€12.5M,€1K
187347,I. Smolnikov,€0,€0
187052,Y. M'Vila,€11.5M,€36K
186832,K. Asamoah,€9.5M,€62K
186148,R. Zieler,€10M,€32K
186132,D. Drinkwater,€12.5M,€110K
185431,N. Kalinić,€12M,€60K
184949,Mariano,€7M,€57K
184881,S. Feghouli,€12.5M,€65K
184826,Adrien Silva,€12M,€75K
184134,Fernando,€9.5M,€57K
183909,I. Traoré,€12M,€34K
183892,G. Mercado,€8.5M,€19K
183580,N. Petersen,€12.5M,€35K
183497,O. Karnezis,€7M,€48K
183285,M. Sakho,€11.5M,€58K
182002,Sidnei,€11.5M,€27K
181820,S. Jovetić,€13M,€79K
178311,Eder,€11.5M,€29K
178224,J. Hernández,€12M,€90K
177723,Fabricio,€8M,€47K
177644,Kiko Casilla,€7.5M,€105K
177633,Ángel,€11.5M,€31K
177358,M. Schneiderlin,€10M,€92K
176944,M. Fellaini,€11.5M,€120K
176731,P. Wernbloom,€7M,€1K
176550,D. Ospina,€8.5M,€80K
173426,S. Mignolet,€8M,€76K
172723,A. Begović,€7.5M,€52K
170797,N. Şahin,€10M,€32K
169705,R. Bertrand,€10M,€53K
169115,A. Masiello,€7M,€30K
164859,T. Walcott,€12.5M,€105K
164029,Charles,€6.5M,€31K
163264,T. Heaton,€7M,€45K
161648,H. Ben Arfa,€11M,€38K
160741,D. Abraham,€8.5M,€37K
159065,E. Lavezzi,€8M,€22K
158232,S. Kalou,€10M,€34K
158133,J. Farfán,€7.5M,€1K
157301,R. Babel,€11M,€55K
152908,A. Young,€7M,€110K
150724,J. Hart,€7.5M,€45K
142707,L. López,€6M,€22K
137351,D. Baier,€3.8M,€28K
124375,B. Yılmaz,€10M,€41K
121933,R. Adler,€6.5M,€25K
108080,S. Lichtsteiner,€3.6M,€94K
53050,E. Adebayor,€6.5M,€34K
80,E. Belözoğlu,€4M,€23K
242348,Loren,€14M,€25K
240130,Éder Militão,€14M,€10K
